dbpedia_id	dbpedia_label	inpe_id
Alenquer,_Pará	Alenquer (Pará)	Alenquer
Almeirim,_Pará	Almeirim (Pará)	Almeirim
Alta_Floresta	Alta Floresta	Alta Floresta
Alta_Floresta_d'Oeste	Alta Floresta d'Oeste	Alta Floresta D'oeste
Altamira,_Pará	Altamira	Altamira
Alto_Alegre,_Roraima	Alto Alegre (Roraima)	Alto Alegre
Alto_Alegre_dos_Parecis	Alto Alegre dos Parecis	Alto Alegre dos Parecis
Alto_Boa_Vista	Alto Boa Vista	Alto Boa Vista
Alto_Paraguai	Alto Paraguai	Alto Paraguai
Alto_Paraíso	Alto Paraíso (Rondônia)	Alto Paraiso
Alvorada_d'Oeste	Alvorada d'Oeste	Alvorada D'oeste
Amajari	Amajari	Amajari
Amapá_(municipality)	Amapá (município)	Amapa
Amapá_do_Maranhão	Amapá do Maranhão	Amapa do Maranhao
Amarante_do_Maranhão	Amarante do Maranhão	Amarante do Maranhao
Anajás	Anajás	Anajas
Anajatuba	Anajatuba	Anajatuba
Anamã	Anamã	Anama
Ananás,_Tocantins	Ananás (Tocantins)	Ananas
Anapu	Anapu	Anapu
Apiacás	Apiacás (Mato Grosso)	Apiacas
Apuí	Apuí	Apui
Aragominas	Aragominas	Aragominas
Araguaiana	Araguaiana	Araguaina
Araguanã,_Maranhão	Araguanã (Maranhão)	Araguana
Araguatins	Araguatins	Araguatins
Arame,_Maranhão	Arame (Maranhão)	Arame
Arapoema	Arapoema	Arapoema
Araputanga	Araputanga	Araputanga
Arari	Arari	Arari
Arenápolis	Arenápolis	Arenapolis
Aripuanã	Aripuanã	Aripuana
Ariquemes	Ariquemes	Ariquemes
Assis_Brasil	Assis Brasil	Assis Brasil
Atalaia_do_Norte	Atalaia do Norte	Atalaia do Norte
Aurora_do_Pará	Aurora do Pará	Aurora do Para
Autazes	Autazes	Autazes
Aveiro,_Pará	Aveiro (Pará)	Aveiro
Açailândia	Açailândia	Açailandia
Bagre,_Pará	Bagre (Pará)	Bagre
Baião,_Pará	Baião (Pará)	Baiao
Bandeirantes_do_Tocantins	Bandeirantes do Tocantins	Bandeirantes do Tocantins
Bannach	Bannach	Bannach
